"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL2152419","CHEMBL2155765","C(N[C@@H]1CC[C@H](CC1)n2cnc3cnc4[nH]ccc4c23)C5CC5","T1/2","=","4.7","hr","309.41","2.48","58.53","1"
"CHEMBL2152305","CHEMBL2155765","C(N1CCC(CC1)n2cnc3cnc4[nH]ccc4c23)c5ccccc5","T1/2","=","0.8","hr","331.41","2.59","49.74","1"
"CHEMBL2152307","CHEMBL2155765","C(N1CCC(CC1)n2cnc3cnc4[nH]ccc4c23)c5cncnc5","T1/2","=","4","hr","333.39","0.81","75.52","1"
"CHEMBL2392487","CHEMBL2394953","C(N1CCC(CC1)n2nnc3cnc4[nH]ccc4c23)c5ccccc5","T1/2","=","0.5","hr","332.4","2.68","62.63","0"
"CHEMBL2392490","CHEMBL2394953","C(N1CCC(CC1)n2nnc3cnc4[nH]ccc4c23)c5cccnc5","T1/2","=","0.7","hr","333.39","1.53","75.52","1"
"CHEMBL2392501","CHEMBL2394953","C(N1CCC[C@H](C1)n2nnc3cnc4[nH]ccc4c23)c5ccccc5","T1/2","=","0.2","hr","332.4","3.19","62.63","0"
"CHEMBL2337469","CHEMBL2339615","C(N1CCN(CC1)c2ccc(cc2)c3nc4ccccc4s3)c5cccnc5","T1/2","=","0.5717","hr","386.51","4.39","60.5","1"
"CHEMBL2337466","CHEMBL2339615","C(N1CCN(CC1)c2ccc(cc2)c3oc4ccccc4n3)c5cccnc5","T1/2","=","0.8367","hr","370.45","3.83","45.4","1"
"CHEMBL1222433","CHEMBL1228174","C(N1CCOCC1)c2ccc(cc2)C(N3CCCN(CC3)C4CCC4)c5nnnn5Cc6ccccc6","T1/2","=","0.2333","hr","501.67","3.44","62.55","0"
"CHEMBL259647","CHEMBL925913","C(NC1CCCCC1)C2CCC3(CC2)OOC4(CCCCC4)OO3","T1/2","=","0.265","hr","339.47","3.5","48.95","0"
"CHEMBL259649","CHEMBL925913","C(NCc1ccccc1)C2CCC3(CC2)OOC4(CCCCC4)OO3","T1/2","=","0.7","hr","347.45","3.23","48.95","1"
"CHEMBL166269","CHEMBL624567","C(Oc1ccccc1)[C@@H]2CC[C@H]3CN(CCN3C2)c4ncccn4","T1/2","=","0.05","hr","324.42","2.91","41.49","0"
"CHEMBL1083706","CHEMBL1120503","C(Oc1ccccc1CC(N2CCNCC2)c3ccccc3)C4CC4","T1/2","=","1.4","hr","336.47","4.06","24.5","1"
"CHEMBL2206289","CHEMBL2213893","C(Oc1ncccn1)[C@@H]2C[C@H](C2)c3ccc(CN4CCCC4)cc3","T1/2",">","2","hr","323.43","3.65","38.25","1"
"CHEMBL296580","CHEMBL2020725","C(Sc1nc2ccccc2[nH]1)c3ccccn3","T1/2","=","2","hr","241.31","3.08","66.87","1"
"CHEMBL2397485","CHEMBL2400836","C[C@@](Cc1ccccc1)(NC(=O)[C@@H](N)Cc2ccccc2)C(=O)N","T1/2","=","0.6667","hr","325.4","1.66","98.21","1"
"CHEMBL582802","CHEMBL1041707","C[C@@]1(CC#C)CN(C2CCCC2)C(=O)C(=C1O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3","T1/2","=","0.7167","hr","506.6","1.41","161.99","1"
"CHEMBL3354961","CHEMBL3378467","C[C@@]12CC[C@@H](C1)C(C)(C)[C@@H]2NC(=O)c3nn(c4[C@@H]5C[C@@H]5Cc34)c6ccc(F)cc6F","T1/2","=","0.01667","hr","411.49","5.39","46.92","0"
"CHEMBL3603952","CHEMBL3607148","C[C@@]12CC\C=C(/CC[C@@H]3[C@H](OC(=O)C3=C)[C@@H]1O2)\C(F)(F)F","T1/2","=","1.427","hr","302.29","3.38","38.83","1"
"CHEMBL2397491","CHEMBL2400836","C[C@@H]([C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N)c2ccccc2","T1/2","=","1.633","hr","325.4","1.67","98.21","1"
"CHEMBL1630783","CHEMBL1641120","C[C@@H](CO)[C@H]1CC[C@@H](C)[C@H](C1)N(C)c2ncnc3[nH]ccc23","T1/2","=","0.2167","hr","302.41","3.22","65.04","0"
"CHEMBL1939112","CHEMBL1942641","C[C@@H](CO)Nc1cc2NC(=O)CCc2cc1S(=O)(=O)Nc3ccc(C)c(Cl)c3","T1/2","=","0.5067","hr","423.91","2.56","115.91","1"
"CHEMBL1939113","CHEMBL1942641","C[C@@H](CO)Nc1cc2NC(=O)CCc2cc1S(=O)(=O)Nc3ccc(F)c(Cl)c3","T1/2","=","1.313","hr","427.88","2.28","115.91","1"
"CHEMBL1630786","CHEMBL1641120","C[C@@H](COCC(=O)NCc1ccccc1)[C@H]2CC[C@@H](C)[C@H](C2)N(C)c3ncnc4[nH]ccc34","T1/2","=","0.05","hr","449.59","4.28","83.14","0"
"CHEMBL3616801","CHEMBL3620862","C[C@@H](N1Cc2cc(Br)sc2C1=O)[C@](O)(Cn3cncn3)c4ccc(F)cc4F","T1/2","=","7.002","hr","469.3","2.85","99.49","1"
"CHEMBL590850","CHEMBL1049511","C[C@@H](NC(=O)c1ccc2c(c1)nc(c3cocc3)n2C4CCCCC4)C(=O)Nc5ccc(\C=C\C(=O)O)cc5","T1/2","=","44","hr","526.58","4.86","126.46","1"
"CHEMBL3759369","CHEMBL3761715","C[C@@H](Nc1ncnc2sc(cc12)c3cccc(c3)C(=O)NCCN(C)C)c4ccccc4","T1/2","=","1.583","hr","445.58","4.58","98.39","1"
"CHEMBL3598099","CHEMBL3599709","C[C@@H](OC(=O)N1CCC(CC1)O[C@@H]2CC[C@H](CC2)Oc3cnc(cn3)S(=O)(=O)C)C(F)(F)F","T1/2",">","1","hr","495.51","2.55","116.3","1"
"CHEMBL1682431","CHEMBL1687058","C[C@@H]1[C@@H](O)C(C)(C)Nc2c(C)c(Cl)c(cc12)c3cccc4cc[nH]c34","T1/2","=","0.35","hr","354.87","5.07","48.05","0"
"CHEMBL1682432","CHEMBL1687058","C[C@@H]1[C@@H](O)C(C)(C)Nc2c(C)c(F)c(cc12)c3cccc4cc[nH]c34","T1/2","=","0.2833","hr","338.42","4.61","48.05","0"
"CHEMBL1644759","CHEMBL1687058","C[C@@H]1[C@@H](O)C(C)(C)Nc2c(C)cc(c(Cl)c12)c3cccc4cc[nH]c34","T1/2","=","0.07833","hr","354.87","5.07","48.05","0"
"CHEMBL1682429","CHEMBL1687058","C[C@@H]1[C@@H](O)C(C)(C)Nc2c(C)cc(c3cccc4cc[nH]c34)c(C#N)c12","T1/2","=","0.2167","hr","345.44","4.28","71.84","0"
