"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL1780095","CHEMBL1780344","CC[C@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCc4cccc(C)n4","T1/2","=","0.1285","hr","432.56","3.61","71.26","0"
"CHEMBL1780114","CHEMBL1780344","CC[C@H]1C[C@H](CN(Cc2nc(oc2C)c3ccccc3)C1)C(=O)NCC4CCOCC4","T1/2","=","0.072","hr","425.56","3.1","67.6","0"
"CHEMBL1780109","CHEMBL1780344","CC[C@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NC[C@@H]4CCCO4","T1/2","=","0.8617","hr","420.55","1.5","80.07","1"
"CHEMBL1780110","CHEMBL1780344","CC[C@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NCc4cccc(N)n4","T1/2","=","0.5183","hr","442.55","1.58","109.75","1"
"CHEMBL1780113","CHEMBL1780344","CC[C@H]1C[C@H](CN(Cc2nc(oc2C)N3CCOCC3)C1)C(=O)NCC4CCOCC4","T1/2","=","0.4017","hr","434.57","1.56","80.07","0"
"CHEMBL567165","CHEMBL1041707","CC[C@H]1CC(=C(C(=O)N1Cc2ccc(F)cc2)C3=Nc4ccc(NS(=O)(=O)C)cc4S(=O)(=O)N3)O","T1/2",">","1","hr","522.57","1.4","161.99","1"
"CHEMBL1774583","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)NCc3ccccc3)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","783.07","3.68","208.54","1"
"CHEMBL1774631","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)Nc3ccc4ccccc4c3)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","789.01","3.23","193.52","1"
"CHEMBL1774637","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=S)NCCCc3ccccc3)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","797.1","4.39","208.53","1"
"CHEMBL529","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","748.98","2.08","180.08","1"
"CHEMBL541735","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)NC(C)C)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","930.22","2.24","236.2","1"
"CHEMBL553184","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)NC(C)c4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1042.35","","","1"
"CHEMBL1774584","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)Nc4ccc(Cl)cc4Cl)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1033.13","","","1"
"CHEMBL563766","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)Nc4ccc5ccccc5c4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1014.29","","","1"
"CHEMBL540229","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)Nc4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1014.29","","","1"
"CHEMBL553625","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=S)NCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","994.33","4.72","251.22","1"
"CHEMBL562773","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=S)NCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2","=","1.717","hr","1008.35","","","1"
"CHEMBL539222","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=S)NCCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1022.38","","","1"
"CHEMBL555684","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)NC(C)C)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","877.16","2.06","221.2","1"
"CHEMBL558355","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)NC(C)c4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","989.28","4.2","221.2","1"
"CHEMBL555663","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Nc4ccc5ccccc5c4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","961.23","3.81","221.2","1"
"CHEMBL563603","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Nc4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","961.23","3.81","221.2","1"
"CHEMBL553338","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","977.3","5.38","236.22","1"
"CHEMBL553183","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)NCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","941.27","4.2","236.22","1"
"CHEMBL532024","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)NCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","955.29","4.52","236.22","1"
"CHEMBL557551","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)NCCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","969.32","4.98","236.22","1"
"CHEMBL1774638","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCN(CCC#N)C(=O)Nc4ccc5ccccc5c4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1000.27","","","1"
"CHEMBL1774639","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCN(CCC#N)C(=S)NCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","994.33","4.97","251.22","1"
"CHEMBL1774641","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCN(CCC(=O)N)C(=O)Nc4ccc5ccccc5c4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","1018.28","","","1"
"CHEMBL1774623","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)NC(C)C)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","863.13","1.99","221.2","1"
"CHEMBL1774630","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)NC(C)c4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","975.26","4.14","221.2","1"
"CHEMBL1774629","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)Nc4ccc5ccccc5c4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","947.21","3.75","221.2","1"
"CHEMBL1774628","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)Nc4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","947.21","3.75","221.2","1"
"CHEMBL1774625","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)Nc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","897.15","2.84","221.2","1"
"CHEMBL1774626","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)NCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","911.17","2.85","221.2","1"
"CHEMBL1774627","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=O)NCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","925.2","3.17","221.2","1"
"CHEMBL1774636","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=S)Nc4cccc5ccccc45)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","963.27","5.32","236.22","1"
"CHEMBL1774632","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=S)Nc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","913.21","4.41","236.22","1"
"CHEMBL1774633","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=S)NCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","927.24","4.14","236.22","1"
"CHEMBL1774634","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=S)NCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","941.27","4.46","236.22","1"
"CHEMBL1774635","CHEMBL1775728","CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(CCNC(=S)NCCCc4ccccc4)[C@H](C)[C@@H](O)[C@]1(C)O","T1/2",">","2","hr","955.29","4.92","236.22","1"
"CHEMBL1950743","CHEMBL1952473","CC1(C)CC(=NNC1=O)c2ccc(OC3CCN(CC3)C4CCC4)cc2","T1/2",">","0.6667","hr","355.47","2.97","53.93","1"
"CHEMBL3582240","CHEMBL3582732","CC1(C)CC[C@]23CC[C@@]4(C)[C@]5(C)CC[C@H]6C(C)(C)C(=O)C(=C[C@]6(C)C5=CC(=O)[C@@]4([C@@H]2C1)N(C7CCCCC7)C3=O)C#N","T1/2","=","0.65","hr","570.8","6.91","78.24","1"
"CHEMBL568210","CHEMBL1041707","CC1(C)CN(Cc2ccc(F)cc2)C(=O)C(=C1O)C3=NS(=O)(=O)c4cc(NS(=O)(=O)C)ccc4N3","T1/2",">","1","hr","522.57","0.7","161.99","1"
"CHEMBL3827111","CHEMBL3829950","CC1(C)N(C(=S)N(C1=O)c2ccc(cc2C(F)(F)F)[N+](=O)[O-])c3cc(cc(c3)C(F)(F)F)C(F)(F)F","T1/2","=","1.192","hr","545.38","7.44","101.46","1"
"CHEMBL1935594","CHEMBL1936937","CC1(C)NCCc2c1oc3cc(ccc23)S(=O)(=O)c4cccc(F)c4","T1/2",">","0.6667","hr","359.41","3.93","67.69","1"
"CHEMBL3354555","CHEMBL3376652","CC1(CC1)c2cc(NC(=O)[C@@H]3CCCCN3C(=O)N4CCS(=O)(=O)CC4)on2","T1/2",">","2","hr","410.49","0.92","121.2","1"
"CHEMBL2386152","CHEMBL2389139","CC1(CC1)c2ccc(cc2)c3ccc(cn3)C#N","T1/2","=","0.5833","hr","234.3","3.53","36.68","1"
"CHEMBL2152410","CHEMBL2155765","CC1(CCN(CC(F)(F)F)CC1)n2cnc3cnc4[nH]ccc4c23","T1/2","=","1.6","hr","337.34","2.22","49.74","1"
"CHEMBL2152409","CHEMBL2155765","CC1(CCN(CC1)S(=O)(=O)C)n2cnc3cnc4[nH]ccc4c23","T1/2",">","10","hr","333.41","0.26","92.26","1"
"CHEMBL2392493","CHEMBL2394953","CC1(CCN(CC1)S(=O)(=O)C)n2nnc3cnc4[nH]ccc4c23","T1/2","=","32","hr","334.4","0.35","105.15","1"
"CHEMBL2152408","CHEMBL2155765","CC1(CCN(Cc2cncnc2)CC1)n3cnc4cnc5[nH]ccc5c34","T1/2","=","1.6","hr","347.42","1.01","75.52","1"
"CHEMBL2152411","CHEMBL2155765","CC1(CCN(CCC#N)CC1)n2cnc3cnc4[nH]ccc4c23","T1/2","=","2.3","hr","308.38","1.19","73.53","1"
"CHEMBL2392492","CHEMBL2394953","CC1(CCN(CCC#N)CC1)n2nnc3cnc4[nH]ccc4c23","T1/2","=","4.8","hr","309.37","1.28","86.42","1"
"CHEMBL2152407","CHEMBL2155765","CC1(CCNCC1)n2cnc3cnc4[nH]ccc4c23","T1/2",">","10","hr","255.32","0.67","58.53","1"
"CHEMBL2386149","CHEMBL2389139","CC1(COC1)c2ccc(cc2)c3ccc(cn3)C#N","T1/2","=","0.6333","hr","250.3","2.49","45.91","1"
"CHEMBL1911404","CHEMBL1912856","CC1(O)C2CC3CC(C2)C(CC(=O)O)(C1C3)c4ccc(F)cc4","T1/2","=","0.1833","hr","318.38","2.98","57.53","0"
"CHEMBL1808625","CHEMBL1810950","Cc1[nH]c2ccccc2c1CC(=O)N3Cc4ccc(\C=C\C(=O)NO)cc4C3","T1/2","=","2.883","hr","375.42","2.54","85.43","1"
"CHEMBL1088949","CHEMBL1810950","Cc1[nH]c2ccccc2c1CCN3Cc4ccc(\C=C\C(=O)NO)cc4C3","T1/2","=","0.5","hr","361.44","3.48","68.36","0"
"CHEMBL3410054","CHEMBL3411313","Cc1[nH]c2ncnc(c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)c(F)c3)c2c1C","T1/2",">","2","hr","452.91","4.06","99.93","1"
"CHEMBL3410053","CHEMBL3411313","Cc1[nH]c2ncnc(c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)c(F)c3)c2c1C","T1/2","=","1.65","hr","453.9","4.35","94.14","1"
"CHEMBL453635","CHEMBL1009213","Cc1[nH]ncc1c2ccc3nc([nH]c3c2)C4COc5ccccc5C4","T1/2","=","0.5","hr","330.38","3.58","66.59","0"
"CHEMBL508975","CHEMBL1009213","Cc1[nH]ncc1c2ccc3nc(oc3c2)C4COc5ccccc5C4","T1/2","=","1.167","hr","331.37","3.59","63.94","1"
"CHEMBL1650406","CHEMBL1664317","CC1=C(Br)C(=O)N(Cc2ccccc2C#N)C(=N1)N3CCC[C@@H](N)C3","T1/2",">","3.333","hr","402.29","1.75","85.72","1"
"CHEMBL1650409","CHEMBL1664317","CC1=C(C)C(=O)N(Cc2ccccc2C#N)C(=N1)N3CCC[C@@H](N)C3","T1/2",">","3.333","hr","337.42","1.74","85.72","1"
"CHEMBL3125635","CHEMBL3131498","CC1=C(Cl)N=C(NC(=O)NC(C)(C)C)C(=O)N1C(C(=O)Nc2ccccc2C(=O)NS(=O)(=O)c3ccc(cc3)C(F)(F)F)c4ccccc4","T1/2","=","0.9","hr","719.13","4.31","174.52","1"
"CHEMBL2030016","CHEMBL2033118","CC1=C(Nc2cc(Cl)ccc2C1=O)c3ccc(Cc4ccc(OC(F)(F)F)cc4)cc3","T1/2","=","3.767","hr","443.85","8.17","38.33","1"
"CHEMBL2012908","CHEMBL2016331","CC1=C(Nc2ccc(I)cc2F)C(=C3CCCN3C1=O)C(=O)NOCCO","T1/2","=","1.65","hr","487.26","1.3","90.9","1"
"CHEMBL2030298","CHEMBL2033129","CC1=C(Nc2ccccc2C1=O)c3ccc(nc3)c4ccc(OC(F)(F)F)cc4","T1/2","=","1.612","hr","396.36","6.32","51.22","1"
"CHEMBL240538","CHEMBL940857","CC1=C(O)c2ccc3OC(C)(C)[C@H](OC(=O)C45CCC(C)(C(=O)O4)C5(C)C)[C@H](OC(=O)C67CCC(C)(C(=O)O6)C7(C)C)c3c2OC1=O","T1/2","=","0.05833","hr","652.68","5.02","160.96","0"
"CHEMBL2346761","CHEMBL2352998","CC1=CC(=CC(=O)N1[C@@H](CC2CCCCC2)C(=O)Nc3nccs3)S(=O)(=O)C4CCCC4","T1/2","<","0.08333","hr","477.64","3.37","133.06","0"
"CHEMBL2346752","CHEMBL2352998","CC1=CC(=CC(=O)N1[C@@H](CC2CCCCO2)C(=O)Nc3ncc(Cl)s3)S(=O)(=O)C4CC4","T1/2","=","1","hr","486","1.22","142.29","1"
"CHEMBL392411","CHEMBL940857","CC1=CC(=O)Oc2c3[C@@H](OC(=O)C45CCC(C)(C(=O)O4)C5(C)C)[C@@H](OC(=O)C67CCC(C)(C(=O)O6)C7(C)C)C(C)(C)Nc3ccc12","T1/2","=","0.16","hr","635.7","5.38","143.53","0"
"CHEMBL392194","CHEMBL940857","CC1=CC(=O)Oc2c3[C@@H](OC(=O)C45CCC(C)(C(=O)O4)C5(C)C)[C@@H](OC(=O)C67CCC(C)(C(=O)O6)C7(C)C)C(C)(C)Oc3c(O)cc12","T1/2","=","0.05167","hr","652.68","5.32","160.96","0"
"CHEMBL431573","CHEMBL940857","CC1=CC(=O)Oc2c3[C@@H](OC(=O)C45CCC(C)(C(=O)O4)C5(C)C)[C@@H](OC(=O)C67CCC(C)(C(=O)O6)C7(C)C)C(C)(C)Oc3ccc12","T1/2","=","0.05667","hr","636.69","5.56","140.73","0"
"CHEMBL1087038","CHEMBL1100520","CC1=CN=C(NCC(c2ccccc2)c3ccccc3)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.1383","hr","463.53","0.13","144.93","0"
"CHEMBL1083499","CHEMBL1100520","CC1=CN=C(NCC(F)(F)c2ccccc2)C(=O)N1CC(=O)NCCONC(=N)N","T1/2",">","1.667","hr","423.42","-1.05","144.93","1"
"CHEMBL1083190","CHEMBL1100520","CC1=CN=C(NCCc2ccc(cc2)C(F)(F)F)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.745","hr","455.43","-0.28","144.93","1"
"CHEMBL1083501","CHEMBL1100520","CC1=CN=C(NCCc2ccc(F)c(F)c2)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.23","hr","423.42","-0.81","144.93","0"
"CHEMBL1083500","CHEMBL1100520","CC1=CN=C(NCCc2ccc(F)cc2)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.2783","hr","405.43","-1.02","144.93","0"
"CHEMBL1083189","CHEMBL1100520","CC1=CN=C(NCCc2ccc(F)cc2F)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.24","hr","423.42","-0.81","144.93","0"
"CHEMBL1087670","CHEMBL1100520","CC1=CN=C(NCCc2ccc3CCCc3c2)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.5433","hr","427.5","-0.17","144.93","1"
"CHEMBL1087037","CHEMBL1100520","CC1=CN=C(NCCc2cccc3ccccc23)C(=O)N1CC(=O)NCCONC(=N)N","T1/2","=","0.6467","hr","437.49","-0.32","144.93","1"
"CHEMBL2325498","CHEMBL2330981","CC1=CN2C(=O)C=C(CSc3nnc(c4ccncc4)n3c5ccccc5Cl)N=C2C=C1C","T1/2","=","0.1167","hr","474.97","4.14","101.57","0"
"CHEMBL1945848","CHEMBL1948886","CC1=NN(C(=O)C=C1c2ccc(OC3CCN(CC3)C4CCC4)cc2)c5ccccn5","T1/2",">","0.6667","hr","416.52","3.46","58.03","1"
"CHEMBL1945845","CHEMBL1948886","CC1=NNC(=O)C=C1c2ccc(OC3CCN(CC3)C4CCC4)cc2","T1/2",">","0.6667","hr","339.43","2.29","53.93","1"
"CHEMBL1945846","CHEMBL1948886","CC1=NNC(=O)CC1c2ccc(OC3CCN(CC3)C4CCC4)cc2","T1/2",">","0.6667","hr","341.45","1.91","53.93","1"
"CHEMBL3747584","CHEMBL3750673","Cc1c(c2cccnc2)n(C)c3ccccc13","T1/2","=","0.2","hr","222.29","3.47","17.82","0"
"CHEMBL572705","CHEMBL1043195","Cc1c(Cc2cc(Cl)cc(Cl)c2)c(nn1CCO)C(F)(F)F","T1/2","=","1.317","hr","353.17","4.76","38.04","1"
"CHEMBL294962","CHEMBL1918192","Cc1c(cc2ccccn12)c3ccc(OCCCN4CCCCC4)cc3","T1/2","=","0.9","hr","348.48","4.43","16.88","1"
"CHEMBL247341","CHEMBL903474","Cc1c(Cl)cccc1CN(C2CCOCC2)[C@H]3CCNC3","T1/2",">","2","hr","308.85","2.41","24.5","1"
